##NAMES=Hydromagnesite
##RRUFFID=R220007
##IDEAL CHEMISTRY=Mg_5_(CO_3_)_4_(OH)_2_&#183;4H_2_O
##LOCALITY=Correc d'en Llinassos, Oms, Céret, Pyrénées-Orientales, Occitanie, France
##OWNER=Joan Rosell-Riba
##SOURCE=Joan Rosell-Riba, Jordi Ibáñez (Geo3Bcn-CSIC), Tariq Jawhari (CCiTUB)
##DESCRIPTION=White spherical aggregates, SEM-EDS analysis indicates only Mg
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R220007
1737.490, 0.8670920
1739.010, 0.8911320
1740.530, 0.7916870
1742.040, 1.068829
1743.560, 1.447647
1745.080, 0.2467580
1746.600, 1.235752
1748.110, 0.6953010
1749.630, 0.6679310
1751.150, 1.116417
1752.660, 1.207920
1754.180, 1.752247
1755.690, 1.499626
1757.210, 0.4753300
1758.720, 2.924278
1760.240, 2.147461
1761.750, 1.435547
1763.270, 1.102478
1764.780, 2.067421
1766.300, 2.423611
1767.810, 2.116982
1769.320, 0.7488060
1770.830, 0.9518280
1772.350, 1.968754
1773.860, 0.6983910
1775.370, 0.1365010
1776.880, 0.0000000E+00
##END=



