##NAMES=Tundrite-(Ce)
##RRUFFID=R130563
##IDEAL CHEMISTRY=Na_2_Ce^3+^_2_Ti^4+^O_2_SiO_4_(CO_3_)_2_
##LOCALITY=Poudrette quarry, Mount St. Hilaire, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Yellow bladed crystals, associated with white orthoclase
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130563
489.7400, 0.6829830
490.2221, 2.472290
490.7042, 5.500244
491.1863, 6.910889
491.6685, 6.644531
492.1506, 5.490845
492.6327, 3.582153
493.1148, 1.088135
493.5969, 1.234985
494.0790, 3.467529
494.5612, 4.788208
495.0433, 3.374390
495.5254, 0.5041500
496.0075, 0.8284910
496.4896, 0.9951170
496.9717, 3.347168
497.4539, 3.572021
497.9360, 2.301025
498.4181, 1.104370
498.9002, 0.5148930
499.3823, 0.4442140
499.8644, 1.214600
500.3466, 2.988525
500.8287, 3.963989
501.3108, 2.567749
501.7929, 0.8150630
502.2750, 0.2413330
502.7571, 3.164185
503.2393, 4.609497
503.7214, 3.448120
504.2035, 0.9343260
504.6856, 0.2557370
505.1677, 0.5400390
505.6498, 1.444580
506.1320, 1.839355
506.6141, 1.757324
507.0962, 2.248047
507.5783, 3.590698
508.0604, 4.480103
508.5425, 3.184692
509.0247, 4.4922002E-02
509.5068, 1.373291
509.9889, 0.1026610
510.4710, 2.098145
510.9531, 1.204102
511.4352, 1.977783
511.9174, 5.234985
512.3995, 7.949585
512.8816, 10.01318
513.3637, 10.75110
513.8458, 10.43860
514.3279, 10.80542
514.8101, 12.81348
515.2922, 15.91199
515.7743, 19.88257
516.2564, 25.02051
516.7385, 29.74036
517.2206, 34.07898
517.7028, 37.43909
518.1849, 39.11926
518.6670, 35.42908
519.1491, 34.24890
519.6312, 38.12683
520.1133, 45.67188
520.5955, 50.97937
521.0776, 52.98108
521.5597, 54.56030
522.0418, 56.77979
522.5239, 59.66760
523.0060, 63.52319
523.4882, 68.74731
523.9703, 73.94446
524.4524, 77.17603
524.9345, 78.64990
525.4166, 81.53674
525.8987, 87.03027
526.3809, 93.02612
526.8630, 95.29517
527.3451, 94.85950
527.8272, 95.97314
528.3093, 102.1366
528.7914, 110.1948
529.2736, 116.9227
529.7557, 122.3545
530.2378, 127.2668
530.7199, 131.2272
531.2020, 135.1396
531.6841, 139.9839
532.1663, 146.8306
532.6484, 152.9102
533.1305, 157.2865
533.6126, 160.4139
534.0947, 163.0707
534.5768, 165.3076
535.0590, 167.2906
535.5411, 169.0229
536.0232, 170.5565
536.5053, 172.0374
536.9874, 173.4171
537.4695, 174.9481
537.9517, 176.5636
538.4338, 178.1814
538.9159, 180.4927
539.3980, 183.5015
539.8801, 187.3667
540.3622, 192.3865
540.8444, 198.4454
541.3265, 205.0831
541.8086, 212.3413
542.2907, 219.8907
542.7728, 226.7806
543.2549, 233.4537
543.7371, 241.2683
544.2192, 252.2703
544.7013, 263.8235
545.1834, 273.3698
545.6655, 281.2687
546.1476, 290.5779
546.6298, 303.4203
547.1119, 317.4799
547.5940, 331.2986
548.0761, 344.5282
548.5582, 358.1018
549.0403, 371.5410
549.5225, 385.6769
550.0046, 401.5208
550.4867, 420.1691
550.9688, 438.2797
