##NAMES=Alluaudite
##RRUFFID=R160082
##IDEAL CHEMISTRY=NaMn^2+^Fe^3+^_2_(PO_4_)_3_
##LOCALITY=Custer, South Dakota, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Dark green massive, associated with muscovite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160082
3.831199e+002, 2.953837e+001
3.836020e+002, 2.962250e+001
3.840841e+002, 2.955572e+001
3.845663e+002, 2.918199e+001
3.850484e+002, 2.881176e+001
3.855305e+002, 2.859674e+001
3.860126e+002, 2.852731e+001
3.864947e+002, 2.860428e+001
3.869768e+002, 2.886913e+001
3.874590e+002, 2.919659e+001
3.879411e+002, 2.928960e+001
3.884232e+002, 2.906352e+001
3.889053e+002, 2.890672e+001
3.893874e+002, 2.895096e+001
3.898695e+002, 2.907806e+001
3.903517e+002, 2.915917e+001
3.908338e+002, 2.916977e+001
3.913159e+002, 2.915247e+001
3.917980e+002, 2.916556e+001
3.922801e+002, 2.922327e+001
3.927622e+002, 2.912653e+001
3.932444e+002, 2.867937e+001
3.937265e+002, 2.827757e+001
3.942086e+002, 2.816430e+001
3.946907e+002, 2.826703e+001
3.951728e+002, 2.837022e+001
3.956549e+002, 2.834829e+001
3.961371e+002, 2.823364e+001
3.966192e+002, 2.815634e+001
3.971013e+002, 2.825275e+001
3.975834e+002, 2.821417e+001
3.980655e+002, 2.788796e+001
3.985476e+002, 2.748251e+001
3.990298e+002, 2.721535e+001
3.995119e+002, 2.714023e+001
3.999940e+002, 2.714692e+001
4.004761e+002, 2.708874e+001
4.009582e+002, 2.694441e+001
4.014403e+002, 2.680874e+001
4.019225e+002, 2.674342e+001
4.024046e+002, 2.662876e+001
4.028867e+002, 2.633685e+001
4.033688e+002, 2.594515e+001
4.038509e+002, 2.565843e+001
4.043330e+002, 2.564198e+001
4.048152e+002, 2.582312e+001
4.052973e+002, 2.577804e+001
4.057794e+002, 2.533079e+001
4.062615e+002, 2.491044e+001
4.067436e+002, 2.455014e+001
4.072257e+002, 2.427549e+001
4.077079e+002, 2.416453e+001
4.081900e+002, 2.423196e+001
4.086721e+002, 2.430270e+001
4.091542e+002, 2.407176e+001
4.096363e+002, 2.344271e+001
4.101184e+002, 2.305166e+001
4.106006e+002, 2.320618e+001
4.110827e+002, 2.340016e+001
4.115648e+002, 2.334708e+001
4.120469e+002, 2.310026e+001
4.125290e+002, 2.289516e+001
4.130111e+002, 2.293644e+001
4.134933e+002, 2.312592e+001
4.139754e+002, 2.312462e+001
4.144575e+002, 2.285950e+001
4.149396e+002, 2.259847e+001
4.154217e+002, 2.247195e+001
4.159038e+002, 2.242095e+001
4.163860e+002, 2.239341e+001
4.168681e+002, 2.238692e+001
4.173502e+002, 2.237164e+001
4.178323e+002, 2.229874e+001
4.183144e+002, 2.217890e+001
4.187965e+002, 2.211503e+001
4.192787e+002, 2.216322e+001
4.197608e+002, 2.223096e+001
4.202429e+002, 2.219011e+001
4.207250e+002, 2.205243e+001
4.212071e+002, 2.197738e+001
4.216892e+002, 2.207190e+001
4.221714e+002, 2.223542e+001
4.226535e+002, 2.235170e+001
4.231356e+002, 2.241222e+001
4.236177e+002, 2.239722e+001
4.240998e+002, 2.226725e+001
4.245819e+002, 2.205103e+001
4.250641e+002, 2.188822e+001
4.255462e+002, 2.182959e+001
4.260283e+002, 2.175962e+001
4.265104e+002, 2.157688e+001
4.269925e+002, 2.135504e+001
4.274746e+002, 2.125468e+001
4.279568e+002, 2.133696e+001
4.284389e+002, 2.149418e+001
4.289210e+002, 2.156388e+001
4.294031e+002, 2.150104e+001
4.298852e+002, 2.147261e+001
4.303673e+002, 2.158578e+001
4.308495e+002, 2.164888e+001
4.313316e+002, 2.144780e+001
4.318137e+002, 2.104676e+001
4.322958e+002, 2.073267e+001
4.327779e+002, 2.072429e+001
4.332600e+002, 2.097722e+001
4.337422e+002, 2.112973e+001
4.342243e+002, 2.101630e+001
4.347064e+002, 2.099846e+001
4.351885e+002, 2.122465e+001
4.356706e+002, 2.151929e+001
4.361527e+002, 2.169675e+001
4.366349e+002, 2.170058e+001
4.371170e+002, 2.159316e+001
4.375991e+002, 2.144349e+001
4.380812e+002, 2.122101e+001
4.385633e+002, 2.106973e+001
4.390454e+002, 2.098957e+001
4.395276e+002, 2.098411e+001
4.400097e+002, 2.110080e+001
4.404918e+002, 2.129483e+001
4.409739e+002, 2.147089e+001
4.414560e+002, 2.156168e+001
4.419381e+002, 2.160480e+001
4.424203e+002, 2.171445e+001
4.429024e+002, 2.191080e+001
4.433845e+002, 2.211928e+001
4.438666e+002, 2.234145e+001
4.443487e+002, 2.255199e+001
4.448308e+002, 2.272886e+001
4.453130e+002, 2.286783e+001
4.457951e+002, 2.298698e+001
4.462772e+002, 2.309943e+001
4.467593e+002, 2.320466e+001
4.472414e+002, 2.329471e+001
4.477235e+002, 2.335834e+001
4.482057e+002, 2.342781e+001
4.486878e+002, 2.353144e+001
4.491699e+002, 2.365996e+001
4.496520e+002, 2.379289e+001
4.501341e+002, 2.392986e+001
4.506162e+002, 2.406539e+001
4.510984e+002, 2.423201e+001
4.515805e+002, 2.441058e+001
4.520626e+002, 2.446493e+001
4.525447e+002, 2.430407e+001
4.530268e+002, 2.404082e+001
4.535089e+002, 2.386959e+001
4.539911e+002, 2.376637e+001
4.544732e+002, 2.379694e+001
4.549553e+002, 2.414496e+001
4.554374e+002, 2.453659e+001
4.559195e+002, 2.464236e+001
4.564016e+002, 2.445144e+001
4.568838e+002, 2.423260e+001
4.573659e+002, 2.421090e+001
4.578480e+002, 2.436972e+001
4.583301e+002, 2.439660e+001
4.588122e+002, 2.415951e+001
4.592943e+002, 2.396915e+001
4.597765e+002, 2.392447e+001
4.602586e+002, 2.396142e+001
4.607407e+002, 2.400031e+001
4.612228e+002, 2.401248e+001
4.617049e+002, 2.400649e+001
4.621870e+002, 2.398934e+001
4.626692e+002, 2.394388e+001
