##NAMES=Ehrleite
##RRUFFID=R180029
##IDEAL CHEMISTRY=Ca_2_Zn^2+^Be(PO_4_)_2_(PO_3_OH)&#183;4H_2_O
##LOCALITY=Tip Top mine, Custer District, Custer Co., South Dakota, USA
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Colorless thick tabular crystals, twinned by a 2-fold parallel to (001)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R180029
590.0203, 39.94715
590.5024, 41.79562
590.9845, 43.71035
591.4666, 45.75898
591.9487, 48.00426
592.4308, 51.12083
592.9130, 55.22294
593.3951, 59.30145
593.8772, 62.56935
594.3593, 65.16783
594.8414, 67.39086
595.3235, 69.21316
595.8057, 70.91531
596.2878, 72.67558
596.7699, 74.51917
597.2520, 76.49828
597.7341, 78.94198
598.2162, 81.08856
598.6984, 82.68351
599.1805, 83.74677
599.6626, 84.32670
600.1447, 83.53653
600.6268, 83.09112
601.1089, 83.65098
601.5911, 85.12038
602.0732, 86.27154
602.5553, 87.10054
603.0374, 87.53675
603.5195, 87.57090
604.0016, 87.25233
604.4838, 86.47330
604.9659, 85.10372
605.4480, 83.56806
605.9301, 82.37678
606.4122, 81.51689
606.8943, 80.79434
607.3765, 80.27587
607.8586, 79.36458
608.3407, 77.18768
608.8228, 74.24304
609.3049, 71.49645
609.7870, 69.55155
610.2692, 67.65969
610.7513, 65.60761
611.2334, 63.34444
611.7155, 60.70944
612.1976, 57.11217
612.6797, 53.65802
613.1619, 50.75014
613.6440, 48.39744
614.1261, 46.03927
614.6082, 43.62708
615.0903, 41.20927
615.5724, 38.69270
616.0546, 36.07861
616.5367, 33.95020
617.0188, 32.45159
617.5009, 31.00696
617.9830, 28.71617
618.4651, 25.90302
618.9473, 23.58118
619.4294, 22.14745
619.9115, 21.08690
620.3936, 19.85335
620.8757, 18.38837
621.3578, 16.91078
621.8400, 14.88985
622.3221, 13.43599
622.8042, 13.42455
623.2863, 14.59531
623.7684, 15.21263
624.2505, 14.90468
624.7327, 14.22044
625.2148, 13.13947
625.6969, 11.54941
626.1790, 11.03111
626.6611, 11.92025
627.1432, 13.02103
627.6254, 13.34368
628.1075, 12.95458
628.5896, 12.55019
629.0717, 12.15586
