##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
447.3137, 49.97015
447.7958, 52.10040
448.2779, 55.10492
448.7600, 58.23077
449.2422, 60.93457
449.7243, 63.20062
450.2064, 65.09686
450.6885, 66.56799
451.1706, 67.74335
451.6527, 68.85608
452.1349, 69.80450
452.6170, 71.07892
453.0991, 73.15454
453.5812, 75.98987
454.0633, 77.70630
454.5454, 78.19354
455.0276, 78.18848
455.5097, 78.52118
455.9918, 79.08490
456.4739, 79.25018
456.9560, 78.88861
457.4381, 78.03314
457.9203, 76.53052
458.4024, 74.50763
458.8845, 72.51581
459.3666, 71.22839
459.8488, 70.01929
460.3309, 68.06592
460.8130, 65.26978
461.2951, 62.25024
461.7772, 59.32916
462.2593, 56.51050
462.7415, 53.84851
463.2236, 51.42950
463.7057, 49.09930
464.1878, 46.79633
464.6699, 44.55005
465.1520, 42.42731
465.6342, 40.43555
466.1163, 38.61737
466.5984, 37.03314
467.0805, 36.00415
467.5626, 34.49628
468.0447, 32.06689
468.5269, 29.43945
469.0090, 27.29150
469.4911, 25.58765
469.9732, 24.48651
470.4553, 24.04767
470.9374, 24.19464
471.4196, 24.89014
471.9017, 26.42542
472.3838, 27.55963
472.8659, 27.45441
473.3480, 26.08862
473.8301, 24.69714
474.3123, 23.23010
474.7944, 22.07861
475.2765, 22.01093
475.7586, 22.71204
476.2407, 22.82605
476.7228, 21.59149
477.2050, 19.88989
477.6871, 19.30042
478.1692, 19.61932
478.6513, 19.79120
479.1334, 18.90692
479.6155, 17.68738
480.0977, 16.97974
480.5798, 16.97888
481.0619, 16.93127
481.5440, 16.16547
482.0261, 15.16327
