##NAMES=Adelite
##RRUFFID=R140962
##IDEAL CHEMISTRY=CaMgAs^5+^O_4_(OH)
##LOCALITY=Sterling Hill, Ogdensburg, Franklin Mining District, Sussex County, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Massive aggregate of smokey orange granular crystals, associated with red zincite and black franklinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140962
430.4396, 73.08716
430.9217, 64.92725
431.4038, 56.94360
431.8860, 47.26562
432.3681, 35.78809
432.8502, 25.82983
433.3323, 18.55176
433.8144, 13.25879
434.2965, 8.177246
434.7787, 3.355957
435.2608, 1.048828
435.7429, 4.617432
436.2250, 7.638672
436.7071, 11.34985
437.1892, 16.29346
437.6714, 20.03955
438.1535, 18.81543
438.6356, 14.38354
439.1177, 10.65161
439.5998, 9.715088
440.0819, 10.00195
440.5641, 11.19214
441.0462, 13.04639
441.5283, 13.03711
442.0104, 8.413818
442.4925, 2.156250
442.9746, 3.202881
443.4568, 6.948730
443.9389, 10.08569
444.4210, 11.95483
444.9031, 13.49536
445.3852, 16.53809
445.8673, 22.62695
446.3495, 29.11157
446.8316, 35.46509
447.3137, 41.77173
447.7958, 47.38184
448.2779, 50.97192
448.7600, 54.98486
449.2422, 61.26709
449.7243, 70.70532
450.2064, 80.82544
450.6885, 91.94995
451.1706, 103.6003
451.6527, 113.9443
452.1349, 122.4780
452.6170, 131.6660
453.0991, 142.1931
453.5812, 154.2119
454.0633, 168.7551
454.5454, 186.4841
455.0276, 204.2109
455.5097, 217.9976
455.9918, 228.5066
456.4739, 239.1001
456.9560, 251.3599
457.4381, 263.2019
457.9203, 270.5903
458.4024, 274.2859
458.8845, 278.0889
459.3666, 284.7793
459.8488, 292.4050
460.3309, 298.2891
460.8130, 302.0574
461.2951, 306.8547
461.7772, 314.8049
462.2593, 324.8269
462.7415, 335.5825
463.2236, 346.5481
463.7057, 358.5754
464.1878, 372.2234
464.6699, 387.1204
465.1520, 402.3728
465.6342, 418.2556
466.1163, 433.6653
466.5984, 448.6221
467.0805, 463.9529
467.5626, 476.1238
468.0447, 486.4580
468.5269, 492.6907
469.0090, 492.4443
469.4911, 483.8015
469.9732, 472.5168
470.4553, 459.3096
470.9374, 444.0405
471.4196, 425.4973
471.9017, 402.9502
472.3838, 379.4126
472.8659, 355.4819
473.3480, 331.0400
473.8301, 310.6018
474.3123, 294.5332
474.7944, 280.7136
475.2765, 266.8633
475.7586, 253.0762
476.2407, 239.8582
476.7228, 227.2219
477.2050, 215.3738
477.6871, 204.7468
478.1692, 195.3074
478.6513, 187.0317
479.1334, 180.6431
479.6155, 175.1211
480.0977, 169.1631
480.5798, 162.4890
481.0619, 156.5486
481.5440, 152.1304
482.0261, 149.1047
482.5082, 147.2766
482.9904, 149.5249
483.4725, 149.8787
483.9546, 145.0205
484.4367, 136.2554
484.9188, 129.4753
485.4009, 125.6299
485.8831, 123.7620
486.3652, 123.6350
486.8473, 125.6655
487.3294, 127.7053
487.8115, 129.9299
488.2936, 131.8943
488.7758, 133.0325
489.2579, 132.9473
489.7400, 133.1152
490.2221, 133.6807
490.7042, 134.6753
491.1863, 136.4824
491.6685, 139.2449
492.1506, 141.5317
492.6327, 142.6587
493.1148, 142.6382
493.5969, 141.3467
494.0790, 138.7620
494.5612, 135.8074
495.0433, 133.7822
495.5254, 132.1042
496.0075, 129.5120
496.4896, 125.5581
496.9717, 121.0830
497.4539, 117.0515
497.9360, 113.0005
498.4181, 107.9319
498.9002, 99.62085
499.3823, 91.45654
499.8644, 86.29346
500.3466, 84.54883
500.8287, 81.74512
501.3108, 74.42578
501.7929, 66.40796
502.2750, 60.60962
502.7571, 60.75781
503.2393, 58.60156
503.7214, 52.02197
504.2035, 43.32251
504.6856, 37.46240
505.1677, 36.07910
505.6498, 34.57617
506.1320, 31.34204
506.6141, 26.49146
507.0962, 23.23315
507.5783, 21.98218
508.0604, 21.13794
508.5425, 19.48291
509.0247, 17.10205
509.5068, 14.49072
509.9889, 11.65601
510.4710, 8.894043
510.9531, 6.242920
511.4352, 3.928467
511.9174, 2.765381
512.3995, 4.254883
512.8816, 6.282471
513.3637, 6.235840
513.8458, 4.368164
514.3279, 2.341309
514.8101, 0.6948240
515.2922, 0.5207520
515.7743, 1.363525
516.2564, 2.013428
516.7385, 1.854736
517.2206, 0.6904300
517.7028, 3.583984
518.1849, 4.498779
518.6670, 0.3818360
519.1491, 2.590576
519.6312, 2.808594
520.1133, 1.002441
520.5955, 0.3669430
521.0776, 1.397217
521.5597, 2.626221
522.0418, 3.415283
522.5239, 3.668213
523.0060, 3.875000
523.4882, 3.998047
523.9703, 3.984131
524.4524, 3.892090
524.9345, 3.688232
525.4166, 2.783936
525.8987, 0.7268070
526.3809, 1.373535
526.8630, 1.318359
527.3451, 0.3879390
527.8272, 1.594727
528.3093, 1.782227
528.7914, 0.6677250
529.2736, 2.858643
529.7557, 8.567383
530.2378, 13.33569
530.7199, 14.80493
531.2020, 14.92847
531.6841, 15.47632
532.1663, 17.72266
532.6484, 18.29126
533.1305, 14.31543
533.6126, 8.804443
534.0947, 6.073730
534.5768, 10.22754
535.0590, 12.64453
535.5411, 11.39307
536.0232, 7.194580
536.5053, 4.109863
536.9874, 2.261963
537.4695, 1.458252
537.9517, 2.076416
538.4338, 4.279053
538.9159, 5.007568
539.3980, 3.976563
539.8801, 2.578613
540.3622, 2.288086
540.8444, 2.941650
541.3265, 3.924561
541.8086, 5.245117
542.2907, 6.496582
542.7728, 7.236084
543.2549, 7.473145
543.7371, 7.239502
544.2192, 6.076172
544.7013, 4.785889
545.1834, 3.597656
545.6655, 2.609619
546.1476, 2.901123
546.6298, 7.321533
547.1119, 11.59229
547.5940, 12.56470
548.0761, 7.235840
548.5582, 4.036377
549.0403, 4.760986
549.5225, 7.386230
550.0046, 9.572998
