##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
2.418267e+002, 9.979354e+002
2.423089e+002, 9.880973e+002
2.427910e+002, 9.767081e+002
2.432731e+002, 9.633505e+002
2.437552e+002, 9.498098e+002
2.442373e+002, 9.353890e+002
2.447194e+002, 9.211904e+002
2.452016e+002, 9.092415e+002
2.456837e+002, 9.008693e+002
2.461658e+002, 8.924156e+002
2.466479e+002, 8.826339e+002
2.471300e+002, 8.710303e+002
2.476121e+002, 8.602616e+002
2.480943e+002, 8.506086e+002
2.485764e+002, 8.416033e+002
2.490585e+002, 8.325666e+002
2.495406e+002, 8.233734e+002
2.500227e+002, 8.143481e+002
2.505048e+002, 8.055892e+002
2.509870e+002, 7.970497e+002
2.514691e+002, 7.889534e+002
2.519512e+002, 7.817330e+002
2.524333e+002, 7.745843e+002
2.529154e+002, 7.660148e+002
2.533975e+002, 7.545458e+002
2.538797e+002, 7.446522e+002
2.543618e+002, 7.382067e+002
2.548439e+002, 7.355277e+002
2.553260e+002, 7.312706e+002
2.558081e+002, 7.245546e+002
2.562902e+002, 7.171772e+002
2.567723e+002, 7.110833e+002
2.572545e+002, 7.065483e+002
2.577366e+002, 7.026298e+002
2.582187e+002, 6.992155e+002
2.587008e+002, 6.963237e+002
2.591829e+002, 6.934963e+002
2.596650e+002, 6.907858e+002
2.601472e+002, 6.880833e+002
2.606293e+002, 6.851699e+002
2.611114e+002, 6.818998e+002
2.615935e+002, 6.789312e+002
2.620756e+002, 6.764742e+002
2.625577e+002, 6.745106e+002
2.630399e+002, 6.725914e+002
2.635220e+002, 6.706486e+002
2.640041e+002, 6.688448e+002
2.644862e+002, 6.672324e+002
2.649683e+002, 6.657206e+002
2.654504e+002, 6.648473e+002
2.659326e+002, 6.652150e+002
2.664147e+002, 6.664135e+002
2.668968e+002, 6.651848e+002
2.673789e+002, 6.603031e+002
2.678610e+002, 6.555938e+002
2.683431e+002, 6.547244e+002
2.688253e+002, 6.588176e+002
2.693074e+002, 6.615112e+002
2.697895e+002, 6.615546e+002
2.702716e+002, 6.595612e+002
2.707537e+002, 6.580400e+002
2.712358e+002, 6.571977e+002
2.717180e+002, 6.562997e+002
2.722001e+002, 6.546892e+002
2.726822e+002, 6.522125e+002
2.731643e+002, 6.500341e+002
2.736464e+002, 6.480455e+002
2.741285e+002, 6.465999e+002
2.746107e+002, 6.471554e+002
2.750928e+002, 6.502157e+002
2.755749e+002, 6.532149e+002
2.760570e+002, 6.545005e+002
2.765391e+002, 6.539693e+002
2.770212e+002, 6.532120e+002
2.775034e+002, 6.522098e+002
2.779855e+002, 6.511981e+002
2.784676e+002, 6.508231e+002
2.789497e+002, 6.511633e+002
2.794318e+002, 6.515071e+002
2.799139e+002, 6.515220e+002
