##NAMES=Parasymplesite
##RRUFFID=R150137
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Kiura Mine, Oita Pref., Kyushu Island, Japan
##OWNER=RRUFF
##SOURCE=Jeremie Pfister
##DESCRIPTION=Aggregates of dark-bluish grey euhedral crystals, associated with smoky scorodite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150137
2.408955e+002, 1.940489e+003
2.413776e+002, 1.938973e+003
2.418597e+002, 1.937175e+003
2.423418e+002, 1.936017e+003
2.428239e+002, 1.936530e+003
2.433060e+002, 1.938061e+003
2.437882e+002, 1.938661e+003
2.442703e+002, 1.937285e+003
2.447524e+002, 1.935183e+003
2.452345e+002, 1.934389e+003
2.457166e+002, 1.935018e+003
2.461987e+002, 1.936041e+003
2.466809e+002, 1.937653e+003
2.471630e+002, 1.939390e+003
2.476451e+002, 1.939387e+003
2.481272e+002, 1.936151e+003
2.486093e+002, 1.932368e+003
2.490914e+002, 1.931567e+003
2.495736e+002, 1.933797e+003
2.500557e+002, 1.935841e+003
2.505378e+002, 1.935661e+003
2.510199e+002, 1.933748e+003
2.515020e+002, 1.932091e+003
2.519841e+002, 1.931049e+003
2.524663e+002, 1.930398e+003
2.529484e+002, 1.929911e+003
2.534305e+002, 1.929580e+003
2.539126e+002, 1.929342e+003
2.543947e+002, 1.929117e+003
2.548768e+002, 1.928940e+003
2.553590e+002, 1.929055e+003
2.558411e+002, 1.929913e+003
2.563232e+002, 1.930447e+003
2.568053e+002, 1.929749e+003
2.572874e+002, 1.928111e+003
2.577695e+002, 1.926576e+003
2.582516e+002, 1.925918e+003
2.587338e+002, 1.925957e+003
2.592159e+002, 1.925702e+003
2.596980e+002, 1.924900e+003
2.601801e+002, 1.924139e+003
2.606622e+002, 1.923668e+003
2.611443e+002, 1.923462e+003
2.616265e+002, 1.923471e+003
2.621086e+002, 1.923698e+003
2.625907e+002, 1.924115e+003
2.630728e+002, 1.924599e+003
2.635549e+002, 1.925150e+003
2.640370e+002, 1.925767e+003
2.645192e+002, 1.926708e+003
2.650013e+002, 1.927664e+003
2.654834e+002, 1.928164e+003
