##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce^3+^_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
392.8345, 157.7607
393.3166, 152.7441
393.7987, 145.4404
394.2809, 142.4736
394.7630, 152.7686
395.2451, 161.7783
395.7272, 161.4023
396.2093, 148.9248
396.6914, 140.9307
397.1736, 144.5977
397.6557, 152.0830
398.1378, 156.2041
398.6199, 155.3057
399.1020, 151.7305
399.5841, 143.9150
400.0663, 132.7627
400.5484, 124.5205
401.0305, 119.9990
401.5126, 117.5684
401.9947, 117.1582
402.4768, 121.8408
402.9590, 121.3418
403.4411, 114.0869
403.9232, 103.1201
404.4053, 93.60449
404.8874, 86.02051
405.3695, 78.95117
405.8517, 71.45508
406.3338, 64.12598
406.8159, 61.58105
407.2980, 64.56934
407.7801, 69.07715
408.2622, 71.70508
408.7444, 72.48242
409.2265, 71.58984
409.7086, 68.15625
410.1907, 63.99414
410.6728, 62.82910
411.1549, 64.44238
411.6371, 67.33008
412.1192, 71.30176
412.6013, 75.62305
413.0834, 78.55664
413.5655, 79.76562
414.0476, 80.29590
414.5298, 82.95508
415.0119, 85.64355
415.4940, 84.19141
415.9761, 72.61133
416.4582, 59.58984
416.9403, 52.73633
417.4225, 51.33789
417.9046, 51.39941
418.3867, 52.26953
418.8688, 52.92090
419.3509, 52.52832
419.8330, 51.19727
420.3152, 48.54297
420.7973, 44.05664
421.2794, 38.32812
421.7615, 32.32129
422.2436, 24.87695
422.7257, 18.72461
423.2079, 15.25000
423.6900, 14.93359
424.1721, 14.33887
424.6542, 11.73047
425.1363, 9.579102
425.6184, 9.482422
426.1006, 9.497070
426.5827, 14.85742
427.0648, 30.25684
427.5469, 51.22852
428.0290, 60.46094
428.5111, 52.80859
428.9933, 42.01270
429.4754, 33.24512
429.9575, 26.48242
430.4396, 23.70605
430.9217, 25.70703
431.4038, 29.63477
431.8860, 32.68066
432.3681, 34.94434
432.8502, 34.43359
433.3323, 30.15039
433.8144, 23.31348
434.2965, 16.45508
434.7787, 9.752930
435.2608, 4.376953
435.7429, 3.294922
436.2250, 4.347656
436.7071, 0.7949220
437.1892, 9.136719
437.6714, 18.92969
438.1535, 21.83789
438.6356, 19.27246
439.1177, 14.39844
439.5998, 3.748047
440.0819, 5.044922
440.5641, 2.195313
441.0462, 11.10840
441.5283, 20.94238
442.0104, 16.26855
442.4925, 6.887695
442.9746, 1.255859
443.4568, 3.291992
443.9389, 5.473633
444.4210, 5.957031
444.9031, 5.059570
445.3852, 3.321289
445.8673, 1.551758
446.3495, 4.987305
446.8316, 5.458984
447.3137, 2.644531
447.7958, 0.5156250
448.2779, 5.531250
448.7600, 9.357422
449.2422, 9.293945
449.7243, 2.122070
450.2064, 2.271484
450.6885, 2.129883
451.1706, 0.6875000
451.6527, 0.8935550
452.1349, 2.333984
452.6170, 5.045898
453.0991, 4.532227
453.5812, 0.9843750
454.0633, 0.9697270
454.5454, 4.837891
455.0276, 9.981445
455.5097, 13.44043
455.9918, 15.53613
456.4739, 18.61523
456.9560, 24.42188
457.4381, 29.70410
457.9203, 27.81055
458.4024, 20.17383
458.8845, 13.41309
459.3666, 12.24805
459.8488, 13.92871
460.3309, 15.67383
460.8130, 17.34473
461.2951, 17.89258
461.7772, 16.51465
462.2593, 13.61230
462.7415, 9.546875
463.2236, 1.963867
463.7057, 4.083008
464.1878, 5.760742
464.6699, 4.027344
465.1520, 2.314453
465.6342, 1.369141
466.1163, 0.7324220
466.5984, 0.2851560
467.0805, 0.2832030
467.5626, 0.4707030
468.0447, 2.658203
468.5269, 5.228516
469.0090, 7.154297
469.4911, 8.045898
469.9732, 8.870117
470.4553, 9.430664
470.9374, 9.935547
471.4196, 12.22656
471.9017, 17.29199
472.3838, 20.51367
472.8659, 17.71094
473.3480, 8.803711
473.8301, 4.160156
474.3123, 4.142578
474.7944, 7.198242
475.2765, 13.23926
475.7586, 21.36523
476.2407, 26.81738
476.7228, 27.84570
477.2050, 25.95996
477.6871, 22.41699
478.1692, 17.69336
478.6513, 13.79297
479.1334, 13.42871
479.6155, 14.03027
480.0977, 12.59668
480.5798, 8.628906
481.0619, 4.946289
481.5440, 2.978516
482.0261, 2.454102
482.5082, 3.043945
482.9904, 7.840820
483.4725, 10.42090
483.9546, 6.983398
484.4367, 0.9248050
484.9188, 6.381836
485.4009, 9.685547
485.8831, 9.403320
486.3652, 4.372070
486.8473, 6.992188
