##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
547.5217, 3.362000
548.0038, 3.888367
548.4859, 3.680420
548.9680, 2.641846
549.4501, 2.039795
549.9323, 2.521667
550.4144, 3.189880
550.8965, 3.447693
551.3786, 3.271362
551.8607, 2.720154
552.3428, 1.794373
552.8250, 0.6912840
553.3071, 0.1055300
553.7892, 0.5395510
554.2713, 0.7485960
554.7534, 0.6871950
555.2355, 0.4743650
555.7177, 3.3507999E-02
556.1998, 0.6427000
556.6819, 0.8682250
557.1640, 0.3442380
557.6461, 0.5623780
558.1282, 0.9367680
558.6104, 0.6308590
559.0925, 0.8137820
559.5746, 2.373169
560.0567, 3.901794
560.5388, 4.087585
561.0209, 3.077332
561.5031, 1.961365
561.9852, 1.017334
562.4673, 0.2451780
562.9494, 0.2996220
563.4315, 0.6530150
563.9136, 0.9758910
564.3958, 1.325256
564.8779, 1.698914
565.3600, 2.105774
565.8421, 2.598694
566.3242, 2.950073
566.8063, 3.270142
567.2885, 3.369080
567.7706, 2.877136
568.2527, 2.066833
568.7348, 1.424683
569.2169, 1.180969
569.6990, 1.287659
570.1812, 1.739136
570.6633, 2.682312
571.1454, 3.373474
571.6275, 3.543274
572.1096, 3.667419
572.5917, 3.866150
573.0739, 4.211121
573.5560, 4.877991
574.0381, 6.084045
574.5202, 7.372192
575.0023, 8.256348
575.4844, 8.770508
575.9666, 9.044800
576.4487, 9.043823
576.9308, 9.033081
577.4129, 9.332825
577.8950, 9.950134
578.3771, 10.38391
578.8593, 10.28491
579.3414, 10.36182
579.8235, 11.15063
580.3056, 12.25635
580.7877, 12.97083
581.2698, 13.10089
581.7520, 13.12079
582.2341, 13.67926
582.7162, 14.86987
583.1984, 15.69885
583.6805, 15.95013
584.1626, 16.08636
584.6447, 16.24823
585.1268, 16.36749
585.6089, 16.33771
586.0911, 16.12939
586.5732, 15.87500
587.0553, 15.51093
587.5374, 15.17926
588.0195, 15.63806
588.5016, 17.15631
588.9838, 18.39612
589.4659, 18.39594
589.9480, 17.51178
590.4301, 16.86731
590.9122, 16.38196
591.3943, 16.28986
591.8765, 17.18597
592.3586, 18.19830
592.8407, 18.26593
593.3228, 17.38727
593.8049, 16.31805
594.2870, 15.56738
594.7692, 15.14813
595.2513, 15.15265
595.7334, 16.10809
596.2155, 16.54150
596.6976, 15.73102
597.1797, 14.87726
597.6619, 15.04596
598.1440, 16.00604
598.6261, 16.49200
599.1082, 15.33240
599.5903, 13.60760
600.0724, 13.54230
600.5546, 15.14215
601.0367, 16.35693
601.5188, 16.50421
602.0009, 16.05829
602.4830, 15.49927
602.9651, 14.81525
603.4473, 14.18854
603.9294, 13.65082
604.4115, 13.17981
604.8936, 12.75555
605.3757, 12.39496
605.8578, 12.18658
606.3400, 12.15948
606.8221, 12.12720
607.3042, 11.81818
607.7863, 11.20135
608.2684, 10.55212
608.7505, 9.753845
609.2327, 9.087402
609.7148, 8.594055
610.1969, 8.305115
610.6790, 8.337402
611.1611, 8.734863
611.6432, 9.085999
612.1254, 9.126587
612.6075, 8.842346
613.0896, 8.077637
613.5717, 6.766907
614.0538, 5.630310
614.5359, 5.170837
615.0181, 5.159180
615.5002, 4.910095
615.9823, 4.077332
616.4644, 3.833435
616.9465, 5.173950
617.4286, 6.503845
617.9108, 6.250183
618.3929, 4.787964
618.8750, 3.610657
619.3571, 3.613892
619.8392, 4.312195
620.3214, 4.591553
620.8035, 4.350586
621.2856, 3.920837
621.7677, 3.166748
622.2498, 2.391479
622.7319, 1.777527
623.2141, 1.288025
623.6962, 0.7644040
624.1783, 7.1106002E-02
624.6604, 0.6401370
625.1425, 9.5092997E-02
625.6246, 1.253052
626.1068, 2.398315
626.5889, 3.161133
627.0710, 3.350159
627.5531, 2.631104
628.0352, 1.011658
628.5173, 0.2214360
628.9995, 0.7022710
629.4816, 1.385925
629.9637, 2.227417
630.4458, 3.059631
630.9279, 3.693481
631.4100, 4.134888
631.8922, 4.617615
632.3743, 5.287476
632.8564, 5.981445
633.3385, 6.517212
633.8206, 6.996887
634.3027, 6.855225
634.7849, 5.099915
635.2670, 3.436401
635.7491, 3.834473
636.2312, 6.068909
636.7133, 7.795044
637.1954, 7.868408
637.6776, 7.233765
638.1597, 6.645691
638.6418, 6.146729
639.1239, 5.828430
639.6060, 5.724854
640.0881, 5.467834
640.5703, 4.463562
641.0524, 2.556335
641.5345, 1.759216
642.0166, 3.549683
642.4987, 4.748901
642.9808, 4.383667
643.4630, 3.302124
643.9451, 2.310425
644.4272, 1.605408
644.9093, 1.131531
645.3914, 0.8300170
645.8735, 0.7363280
646.3557, 1.036987
646.8378, 1.729370
647.3199, 2.334229
647.8020, 2.716309
648.2841, 2.860352
648.7662, 2.585510
649.2484, 1.713074
649.7305, 1.175415
650.2126, 1.258301
650.6947, 1.492554
651.1768, 1.602661
651.6589, 1.679443
652.1411, 1.817688
652.6232, 2.090088
653.1053, 2.785034
653.5874, 4.676514
654.0695, 7.806030
654.5516, 8.880859
655.0338, 6.980835
655.5159, 4.860352
655.9980, 3.407410
656.4801, 2.527771
656.9622, 2.339722
657.4443, 2.910400
657.9265, 3.284424
658.4086, 2.947937
658.8907, 2.273254
659.3728, 1.218872
659.8549, 0.1080320
660.3370, 0.2941280
660.8192, 2.481079
661.3013, 5.487183
661.7834, 7.281494
662.2655, 7.730957
662.7476, 7.471802
663.2297, 5.613953
663.7119, 4.017883
664.1940, 3.502014
664.6761, 3.474182
665.1582, 3.027405
665.6403, 1.919312
666.1224, 1.006897
666.6046, 1.336670
667.0867, 2.319153
667.5688, 2.454407
668.0509, 1.653259
668.5330, 0.7650150
669.0151, 0.1312260
669.4973, 0.2211300
669.9794, 0.1797490
670.4615, 0.5297850
670.9436, 0.8825070
671.4257, 0.4276120
671.9078, 5.4809999E-02
672.3900, 0.3201290
672.8721, 0.9574580
673.3542, 1.548889
673.8363, 1.926758
674.3184, 2.002441
674.8005, 1.505554
675.2827, 0.5175170
675.7648, 0.1494140
676.2469, 0.4880370
676.7290, 0.4407960
677.2111, 0.3553470
677.6932, 1.414124
678.1754, 1.613647
678.6575, 0.7701420
679.1396, 0.1826780
679.6217, 0.4658200
680.1038, 0.8334350
680.5859, 0.5383300
681.0681, 0.1344600
681.5502, 0.4537350
682.0323, 0.1309810
682.5144, 0.5291140
682.9965, 1.342651
683.4786, 2.349548
683.9608, 2.352112
684.4429, 0.5904540
684.9250, 0.8070070
685.4071, 0.7806400
685.8892, 5.8410998E-02
686.3713, 0.7563480
686.8535, 1.622070
687.3356, 2.173523
687.8177, 2.231689
688.2998, 1.912537
688.7819, 0.8789670
689.2640, 0.4639890
689.7462, 0.6829220
690.2283, 0.7945560
690.7104, 2.717468
691.1925, 3.240417
691.6746, 2.159851
692.1567, 1.618408
692.6389, 2.456299
693.1210, 2.668762
693.6031, 0.8222050
694.0852, 1.293762
694.5673, 1.596680
695.0494, 7.2448999E-02
695.5316, 1.658020
696.0137, 2.033630
696.4958, 1.763489
696.9779, 1.407471
697.4600, 1.035156
697.9421, 0.9401250
698.4243, 1.261047
698.9064, 1.585632
699.3885, 1.324890
699.8706, 0.4323730
700.3527, 0.1049190
700.8348, 0.9206540
701.3170, 1.639221
701.7991, 2.227722
702.2812, 2.504944
702.7633, 2.081360
703.2454, 1.071716
703.7275, 0.3148190
704.2097, 0.5654300
704.6918, 1.176086
705.1739, 0.9402470
705.6560, 4.7729000E-02
706.1381, 0.1005860
706.6202, 1.008118
707.1024, 2.218933
707.5845, 2.297607
708.0666, 1.261780
708.5487, 0.5834960
709.0308, 0.4879150
709.5129, 0.4218140
709.9951, 7.8612998E-02
710.4772, 0.1036990
710.9593, 0.4051510
711.4414, 1.467651
711.9235, 2.467346
712.4056, 3.157043
712.8878, 3.394775
713.3699, 2.622253
713.8520, 1.047302
714.3341, 0.2607420
714.8162, 0.6224980
715.2983, 1.381653
715.7805, 2.075134
716.2626, 2.714844
716.7447, 3.168579
717.2268, 3.546692
717.7089, 3.604675
718.1910, 3.091736
718.6732, 2.477661
719.1553, 2.042603
