##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
396.6678, 2.020878
397.1499, 3.459076
397.6320, 4.335270
398.1141, 4.448105
398.5962, 4.281536
399.0783, 3.996666
399.5605, 3.614162
400.0426, 3.101509
400.5247, 2.423038
401.0068, 1.631237
401.4889, 0.9634780
401.9710, 0.2920230
402.4532, 5.5865999E-02
402.9353, 0.2441520
403.4174, 0.7186240
403.8995, 0.8051260
404.3816, 0.3902780
404.8637, 5.7346001E-02
405.3459, 0.1986540
405.8280, 1.725555
406.3101, 2.548931
406.7922, 1.740437
407.2743, 0.9206810
407.7564, 0.7817080
408.2386, 1.227482
408.7207, 1.833122
409.2028, 2.377857
409.6849, 2.816650
410.1670, 2.868210
410.6491, 2.265549
411.1313, 1.672501
411.6134, 1.444351
412.0955, 1.468575
412.5776, 1.419041
413.0597, 1.217628
413.5418, 1.000755
414.0240, 0.8554730
414.5061, 0.7670520
414.9882, 1.039455
415.4703, 2.334408
415.9524, 3.499660
416.4345, 3.375893
416.9167, 2.146484
417.3988, 0.9918860
417.8809, 0.5249440
418.3630, 0.5532570
418.8451, 0.7693630
419.3272, 1.222240
419.8094, 1.557827
420.2915, 1.417908
420.7736, 1.041832
421.2557, 0.9527210
421.7378, 1.476128
422.2199, 1.881123
422.7021, 1.439529
423.1842, 0.4231220
423.6663, 0.1895940
424.1484, 6.0999999E-04
424.6305, 0.5079080
425.1126, 0.5139540
425.5948, 8.2061999E-02
426.0769, 0.3083950
426.5590, 0.2284090
427.0411, 1.069603
427.5232, 1.953777
428.0053, 2.789719
428.4875, 3.228256
428.9695, 2.907082
429.4517, 1.907345
429.9338, 1.394360
430.4159, 1.881153
430.8980, 2.157177
431.3801, 1.661839
431.8622, 0.8122940
432.3444, 0.2697110
432.8265, 0.2696720
433.3086, 0.4982950
433.7907, 0.3926510
434.2728, 0.3433340
434.7549, 0.7103230
435.2371, 0.4416770
435.7192, 9.1530003E-02
436.2013, 4.4124998E-02
436.6834, 2.9564001E-02
437.1655, 0.1732900
437.6476, 0.3138120
438.1298, 0.4309580
438.6119, 0.3529930
439.0940, 0.1195340
439.5761, 0.4903830
440.0582, 0.6887050
440.5403, 0.7333600
441.0225, 0.5280420
441.5046, 5.6522001E-02
441.9867, 0.2935450
442.4688, 0.1422650
442.9509, 1.459103
443.4330, 2.276356
443.9152, 2.271194
444.3973, 1.898312
444.8794, 1.125134
445.3615, 0.1920890
445.8436, 0.1514590
446.3257, 1.050991
446.8079, 2.738029
447.2900, 2.779327
447.7721, 0.9413070
448.2542, 0.5856780
448.7363, 0.6894570
449.2184, 6.2877998E-02
449.7006, 0.7502860
450.1827, 1.364109
450.6648, 1.841152
451.1469, 2.086441
451.6290, 2.182430
452.1111, 2.316086
452.5933, 2.526554
453.0754, 2.652100
453.5575, 2.481541
454.0396, 1.999058
454.5217, 1.737953
455.0038, 1.676067
455.4860, 1.864086
455.9681, 2.567474
456.4502, 3.550266
456.9323, 4.232079
457.4144, 4.318470
457.8965, 4.010044
458.3787, 3.769619
458.8608, 3.664955
459.3429, 3.526737
459.8250, 3.398853
460.3071, 3.180267
460.7892, 2.678200
461.2714, 1.983799
461.7535, 1.511379
462.2356, 1.645390
462.7177, 2.341763
463.1998, 3.008289
463.6819, 3.706009
464.1641, 4.271427
464.6462, 4.629025
465.1283, 4.869099
465.6104, 5.183689
466.0925, 5.633270
466.5746, 5.855312
467.0568, 5.280766
467.5389, 3.842426
468.0210, 2.353180
468.5031, 0.3636090
468.9852, 1.009438
469.4673, 0.8153230
469.9495, 0.5098530
470.4316, 1.700531
470.9137, 2.072147
471.3958, 2.067856
471.8779, 2.453419
472.3600, 3.254498
472.8422, 3.710499
473.3243, 3.354958
473.8064, 2.594585
474.2885, 2.048862
474.7706, 1.692299
475.2527, 1.644745
475.7349, 2.247669
476.2170, 3.060909
476.6991, 3.391903
477.1812, 3.161648
477.6633, 2.949516
478.1454, 3.299835
478.6276, 4.152653
479.1097, 4.473644
479.5918, 3.684689
480.0739, 3.116100
480.5560, 3.346931
481.0381, 4.000187
481.5203, 4.540913
482.0024, 4.823353
482.4845, 4.947357
482.9666, 5.018887
483.4487, 4.936073
483.9308, 5.101986
484.4130, 6.293892
484.8951, 6.998753
485.3772, 5.946533
485.8593, 3.974331
486.3414, 2.908005
486.8235, 3.860580
487.3057, 5.944767
487.7878, 7.049652
488.2699, 6.928989
488.7520, 6.625008
489.2341, 5.950195
489.7162, 5.468742
490.1984, 5.732658
490.6805, 6.678921
491.1626, 7.532402
491.6447, 7.602882
492.1268, 7.227730
492.6089, 7.262714
493.0910, 7.799759
493.5732, 8.625603
494.0553, 9.751808
494.5374, 11.01412
495.0195, 12.13653
495.5016, 13.24885
495.9837, 13.90471
496.4659, 13.36570
496.9480, 12.40735
497.4301, 12.38617
497.9122, 13.60060
498.3943, 15.25235
498.8764, 16.58266
499.3586, 17.56777
499.8407, 18.65603
500.3228, 20.01597
500.8049, 21.33825
501.2870, 22.44565
501.7691, 23.46749
502.2513, 24.63637
502.7334, 26.03355
503.2155, 27.53771
503.6976, 28.87502
504.1797, 29.79713
504.6618, 31.33070
505.1440, 33.74838
505.6261, 36.50971
506.1082, 39.49184
506.5903, 42.62060
507.0724, 45.83982
507.5545, 49.07557
