##NAMES=Ondrusite
##RRUFFID=R141029
##IDEAL CHEMISTRY=CaCu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_&#183;10H_2_O
##LOCALITY=Svornost mine, Jáchymov, Krušné Hory Mts, Karlovy Vary, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Pale green thin bladed crystals with striations parallel to the elongated direction, associated with quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R141029
3.451049e+002, 1.910327e+003
3.455871e+002, 1.910801e+003
3.460692e+002, 1.910061e+003
3.465513e+002, 1.910275e+003
3.470334e+002, 1.911925e+003
3.475155e+002, 1.914216e+003
3.479977e+002, 1.915937e+003
3.484798e+002, 1.917124e+003
3.489619e+002, 1.917975e+003
3.494440e+002, 1.918467e+003
3.499261e+002, 1.918724e+003
3.504082e+002, 1.918996e+003
3.508904e+002, 1.919288e+003
3.513725e+002, 1.919690e+003
3.518546e+002, 1.920287e+003
3.523367e+002, 1.921073e+003
3.528188e+002, 1.922022e+003
3.533009e+002, 1.923875e+003
3.537831e+002, 1.925490e+003
3.542652e+002, 1.924779e+003
3.547473e+002, 1.921883e+003
3.552294e+002, 1.919809e+003
3.557115e+002, 1.921997e+003
3.561936e+002, 1.925944e+003
3.566758e+002, 1.928322e+003
3.571579e+002, 1.927478e+003
3.576400e+002, 1.925703e+003
3.581221e+002, 1.924143e+003
3.586042e+002, 1.922913e+003
3.590863e+002, 1.922346e+003
3.595685e+002, 1.922871e+003
3.600506e+002, 1.923982e+003
3.605327e+002, 1.925387e+003
3.610148e+002, 1.927182e+003
3.614969e+002, 1.928898e+003
3.619790e+002, 1.930719e+003
3.624612e+002, 1.932279e+003
3.629433e+002, 1.932990e+003
3.634254e+002, 1.930917e+003
3.639075e+002, 1.929474e+003
3.643896e+002, 1.930427e+003
3.648717e+002, 1.934245e+003
3.653539e+002, 1.937533e+003
3.658360e+002, 1.939432e+003
3.663181e+002, 1.940552e+003
3.668002e+002, 1.941503e+003
3.672823e+002, 1.941679e+003
3.677644e+002, 1.942391e+003
3.682466e+002, 1.944279e+003
3.687287e+002, 1.947177e+003
3.692108e+002, 1.949124e+003
3.696929e+002, 1.949461e+003
3.701750e+002, 1.949452e+003
3.706571e+002, 1.949772e+003
3.711393e+002, 1.951038e+003
3.716214e+002, 1.951542e+003
3.721035e+002, 1.950733e+003
3.725856e+002, 1.949357e+003
3.730677e+002, 1.949242e+003
3.735498e+002, 1.951224e+003
3.740320e+002, 1.952885e+003
3.745141e+002, 1.953078e+003
3.749962e+002, 1.951510e+003
3.754783e+002, 1.951288e+003
3.759604e+002, 1.952925e+003
3.764425e+002, 1.955078e+003
3.769247e+002, 1.956000e+003
3.774068e+002, 1.955442e+003
3.778889e+002, 1.955156e+003
3.783710e+002, 1.955658e+003
3.788531e+002, 1.956738e+003
3.793352e+002, 1.957632e+003
3.798174e+002, 1.958360e+003
3.802995e+002, 1.958701e+003
3.807816e+002, 1.958078e+003
3.812637e+002, 1.956682e+003
3.817458e+002, 1.956207e+003
3.822279e+002, 1.957011e+003
3.827101e+002, 1.958565e+003
3.831922e+002, 1.960233e+003
3.836743e+002, 1.961992e+003
3.841564e+002, 1.963561e+003
3.846385e+002, 1.964752e+003
3.851206e+002, 1.965677e+003
3.856028e+002, 1.966549e+003
3.860849e+002, 1.967378e+003
3.865670e+002, 1.968172e+003
3.870491e+002, 1.968641e+003
3.875312e+002, 1.969104e+003
3.880133e+002, 1.970228e+003
3.884955e+002, 1.972966e+003
3.889776e+002, 1.975859e+003
3.894597e+002, 1.977437e+003
3.899418e+002, 1.977855e+003
3.904239e+002, 1.978068e+003
3.909060e+002, 1.978380e+003
3.913882e+002, 1.978885e+003
3.918703e+002, 1.979666e+003
3.923524e+002, 1.980753e+003
3.928345e+002, 1.982106e+003
3.933166e+002, 1.984286e+003
3.937987e+002, 1.986699e+003
3.942809e+002, 1.988124e+003
3.947630e+002, 1.986909e+003
3.952451e+002, 1.985708e+003
3.957272e+002, 1.985659e+003
3.962093e+002, 1.986972e+003
3.966914e+002, 1.988685e+003
3.971736e+002, 1.991592e+003
3.976557e+002, 1.994327e+003
3.981378e+002, 1.995634e+003
3.986199e+002, 1.993039e+003
3.991020e+002, 1.991619e+003
3.995841e+002, 1.992737e+003
4.000663e+002, 1.995883e+003
4.005484e+002, 1.997633e+003
4.010305e+002, 1.996863e+003
4.015126e+002, 1.995924e+003
4.019947e+002, 1.996115e+003
4.024768e+002, 1.998533e+003
4.029590e+002, 1.999432e+003
4.034411e+002, 1.998114e+003
4.039232e+002, 1.995852e+003
4.044053e+002, 1.995056e+003
4.048874e+002, 1.996355e+003
4.053695e+002, 1.997297e+003
4.058517e+002, 1.996871e+003
4.063338e+002, 1.995239e+003
4.068159e+002, 1.994552e+003
4.072980e+002, 1.994878e+003
4.077801e+002, 1.995961e+003
4.082622e+002, 1.997882e+003
4.087444e+002, 2.000584e+003
4.092265e+002, 2.002693e+003
4.097086e+002, 2.003797e+003
4.101907e+002, 2.004322e+003
4.106728e+002, 2.005088e+003
4.111549e+002, 2.006060e+003
4.116371e+002, 2.007102e+003
4.121192e+002, 2.007899e+003
4.126013e+002, 2.008697e+003
4.130834e+002, 2.010234e+003
4.135655e+002, 2.012647e+003
4.140476e+002, 2.014990e+003
4.145298e+002, 2.016594e+003
4.150119e+002, 2.017447e+003
4.154940e+002, 2.017558e+003
4.159761e+002, 2.016169e+003
4.164582e+002, 2.014618e+003
4.169403e+002, 2.014190e+003
4.174225e+002, 2.014742e+003
4.179046e+002, 2.015376e+003
4.183867e+002, 2.015710e+003
4.188688e+002, 2.015853e+003
4.193509e+002, 2.015769e+003
4.198330e+002, 2.015030e+003
4.203152e+002, 2.015033e+003
4.207973e+002, 2.017230e+003
4.212794e+002, 2.020444e+003
4.217615e+002, 2.022544e+003
4.222436e+002, 2.022023e+003
4.227257e+002, 2.021239e+003
4.232079e+002, 2.020974e+003
4.236900e+002, 2.021340e+003
4.241721e+002, 2.021757e+003
4.246542e+002, 2.021554e+003
4.251363e+002, 2.021774e+003
4.256184e+002, 2.023262e+003
4.261006e+002, 2.027385e+003
4.265827e+002, 2.030560e+003
4.270648e+002, 2.032199e+003
4.275469e+002, 2.032679e+003
4.280290e+002, 2.033236e+003
4.285111e+002, 2.033712e+003
