##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
3.036429e+002, 9.522357e+003
3.041250e+002, 9.529778e+003
3.046071e+002, 9.537557e+003
3.050893e+002, 9.539863e+003
3.055714e+002, 9.539010e+003
3.060535e+002, 9.539730e+003
3.065356e+002, 9.546943e+003
3.070177e+002, 9.555091e+003
3.074998e+002, 9.557453e+003
3.079820e+002, 9.553892e+003
3.084641e+002, 9.551443e+003
3.089462e+002, 9.557106e+003
3.094283e+002, 9.566592e+003
3.099104e+002, 9.573988e+003
3.103925e+002, 9.575259e+003
3.108747e+002, 9.575301e+003
3.113568e+002, 9.577287e+003
3.118389e+002, 9.581106e+003
3.123210e+002, 9.585440e+003
3.128031e+002, 9.589441e+003
3.132852e+002, 9.593770e+003
3.137674e+002, 9.598995e+003
3.142495e+002, 9.604468e+003
3.147316e+002, 9.611815e+003
3.152137e+002, 9.624250e+003
3.156958e+002, 9.639718e+003
3.161779e+002, 9.651397e+003
3.166601e+002, 9.654902e+003
3.171422e+002, 9.654506e+003
3.176243e+002, 9.651864e+003
3.181064e+002, 9.643973e+003
3.185885e+002, 9.640694e+003
3.190706e+002, 9.648458e+003
3.195528e+002, 9.662813e+003
3.200349e+002, 9.675214e+003
3.205170e+002, 9.681341e+003
3.209991e+002, 9.686466e+003
3.214812e+002, 9.693036e+003
3.219633e+002, 9.701964e+003
3.224455e+002, 9.709830e+003
3.229276e+002, 9.716838e+003
3.234097e+002, 9.722247e+003
3.238918e+002, 9.725163e+003
3.243739e+002, 9.722463e+003
3.248560e+002, 9.720339e+003
3.253382e+002, 9.719526e+003
3.258203e+002, 9.719840e+003
3.263024e+002, 9.724698e+003
3.267845e+002, 9.742938e+003
3.272666e+002, 9.761321e+003
3.277487e+002, 9.769272e+003
3.282309e+002, 9.754972e+003
3.287130e+002, 9.744002e+003
3.291951e+002, 9.738813e+003
3.296772e+002, 9.739127e+003
3.301593e+002, 9.742411e+003
3.306414e+002, 9.751283e+003
3.311236e+002, 9.760480e+003
3.316057e+002, 9.766868e+003
3.320878e+002, 9.766833e+003
3.325699e+002, 9.770348e+003
3.330520e+002, 9.779260e+003
3.335341e+002, 9.791419e+003
3.340163e+002, 9.800746e+003
3.344984e+002, 9.805271e+003
3.349805e+002, 9.809965e+003
3.354626e+002, 9.817604e+003
3.359447e+002, 9.830077e+003
3.364268e+002, 9.838122e+003
3.369090e+002, 9.840688e+003
3.373911e+002, 9.840157e+003
3.378732e+002, 9.839833e+003
3.383553e+002, 9.839449e+003
3.388374e+002, 9.840677e+003
3.393195e+002, 9.844818e+003
3.398017e+002, 9.851754e+003
3.402838e+002, 9.856924e+003
3.407659e+002, 9.860267e+003
3.412480e+002, 9.862333e+003
3.417301e+002, 9.862322e+003
3.422122e+002, 9.859823e+003
3.426944e+002, 9.861941e+003
3.431765e+002, 9.871519e+003
3.436586e+002, 9.886176e+003
3.441407e+002, 9.898042e+003
3.446228e+002, 9.906942e+003
3.451049e+002, 9.914058e+003
3.455871e+002, 9.918380e+003
3.460692e+002, 9.920782e+003
3.465513e+002, 9.927452e+003
3.470334e+002, 9.940071e+003
3.475155e+002, 9.955387e+003
3.479977e+002, 9.968627e+003
3.484798e+002, 9.979872e+003
3.489619e+002, 9.988907e+003
3.494440e+002, 9.994815e+003
3.499261e+002, 9.998549e+003
3.504082e+002, 1.000205e+004
3.508904e+002, 1.000537e+004
3.513725e+002, 1.000898e+004
3.518546e+002, 1.001291e+004
3.523367e+002, 1.001748e+004
3.528188e+002, 1.002365e+004
3.533009e+002, 1.003467e+004
3.537831e+002, 1.004596e+004
3.542652e+002, 1.005001e+004
3.547473e+002, 1.004725e+004
3.552294e+002, 1.004682e+004
3.557115e+002, 1.005971e+004
3.561936e+002, 1.007764e+004
3.566758e+002, 1.008938e+004
3.571579e+002, 1.008778e+004
3.576400e+002, 1.008423e+004
3.581221e+002, 1.008728e+004
3.586042e+002, 1.009539e+004
3.590863e+002, 1.010294e+004
3.595685e+002, 1.010594e+004
3.600506e+002, 1.010814e+004
3.605327e+002, 1.011273e+004
3.610148e+002, 1.012148e+004
3.614969e+002, 1.012943e+004
3.619790e+002, 1.013384e+004
3.624612e+002, 1.013617e+004
3.629433e+002, 1.013895e+004
3.634254e+002, 1.014140e+004
3.639075e+002, 1.014568e+004
3.643896e+002, 1.015392e+004
3.648717e+002, 1.016704e+004
3.653539e+002, 1.017699e+004
3.658360e+002, 1.018114e+004
3.663181e+002, 1.018170e+004
3.668002e+002, 1.018083e+004
3.672823e+002, 1.017401e+004
3.677644e+002, 1.017079e+004
3.682466e+002, 1.017513e+004
3.687287e+002, 1.018603e+004
3.692108e+002, 1.019211e+004
3.696929e+002, 1.019037e+004
3.701750e+002, 1.018652e+004
3.706571e+002, 1.018340e+004
3.711393e+002, 1.018117e+004
3.716214e+002, 1.017951e+004
3.721035e+002, 1.017821e+004
3.725856e+002, 1.017767e+004
3.730677e+002, 1.017919e+004
3.735498e+002, 1.018496e+004
3.740320e+002, 1.018878e+004
3.745141e+002, 1.018739e+004
3.749962e+002, 1.017981e+004
3.754783e+002, 1.017670e+004
3.759604e+002, 1.017983e+004
3.764425e+002, 1.018462e+004
3.769247e+002, 1.018514e+004
3.774068e+002, 1.018065e+004
3.778889e+002, 1.017665e+004
3.783710e+002, 1.017494e+004
