##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
3.822043e+002, 4.369283e+001
3.826864e+002, 4.314014e+001
3.831685e+002, 4.232885e+001
3.836506e+002, 4.176461e+001
3.841327e+002, 4.259862e+001
3.846148e+002, 4.480367e+001
3.850970e+002, 4.595356e+001
3.855791e+002, 4.438546e+001
3.860612e+002, 4.191454e+001
3.865433e+002, 4.081349e+001
3.870254e+002, 4.131121e+001
3.875075e+002, 4.219319e+001
3.879897e+002, 4.261805e+001
3.884718e+002, 4.258298e+001
3.889539e+002, 4.243446e+001
3.894360e+002, 4.202805e+001
3.899181e+002, 4.165003e+001
3.904002e+002, 4.148643e+001
3.908824e+002, 4.147329e+001
3.913645e+002, 4.143142e+001
3.918466e+002, 4.127448e+001
3.923287e+002, 4.105178e+001
3.928108e+002, 4.089186e+001
3.932929e+002, 4.088314e+001
3.937751e+002, 4.076686e+001
3.942572e+002, 4.027346e+001
3.947393e+002, 3.977876e+001
3.952214e+002, 3.966768e+001
3.957035e+002, 4.001804e+001
3.961856e+002, 4.071473e+001
3.966678e+002, 4.170948e+001
3.971499e+002, 4.313794e+001
3.976320e+002, 4.400449e+001
3.981141e+002, 4.410780e+001
3.985962e+002, 4.393185e+001
3.990783e+002, 4.364009e+001
3.995605e+002, 4.325090e+001
4.000426e+002, 4.273076e+001
4.005247e+002, 4.204430e+001
4.010068e+002, 4.124465e+001
4.014889e+002, 4.056930e+001
4.019710e+002, 3.988971e+001
4.024532e+002, 3.953374e+001
4.029353e+002, 3.982615e+001
4.034174e+002, 4.029330e+001
4.038995e+002, 4.037249e+001
4.043816e+002, 3.995049e+001
4.048637e+002, 3.950829e+001
4.053459e+002, 3.986246e+001
4.058280e+002, 4.147232e+001
4.063101e+002, 4.229284e+001
4.067922e+002, 4.147852e+001
4.072743e+002, 4.065306e+001
4.077564e+002, 4.050845e+001
4.082386e+002, 4.094872e+001
4.087207e+002, 4.155214e+001
4.092028e+002, 4.209994e+001
4.096849e+002, 4.254066e+001
4.101670e+002, 4.259075e+001
4.106491e+002, 4.198711e+001
4.111313e+002, 4.146885e+001
4.116134e+002, 4.132915e+001
4.120955e+002, 4.135017e+001
4.125776e+002, 4.129624e+001
4.130597e+002, 4.109053e+001
4.135418e+002, 4.086946e+001
4.140240e+002, 4.072093e+001
4.145061e+002, 4.063515e+001
4.149882e+002, 4.095692e+001
4.154703e+002, 4.230874e+001
4.159524e+002, 4.347261e+001
4.164345e+002, 4.334522e+001
4.169167e+002, 4.211227e+001
4.173988e+002, 4.095422e+001
4.178809e+002, 4.048406e+001
4.183630e+002, 4.051019e+001
4.188451e+002, 4.072312e+001
4.193272e+002, 4.117291e+001
4.198094e+002, 4.150550e+001
4.202915e+002, 4.136267e+001
4.207736e+002, 4.098378e+001
4.212557e+002, 4.089347e+001
4.217378e+002, 4.141663e+001
4.222199e+002, 4.182032e+001
4.227021e+002, 4.137626e+001
4.231842e+002, 4.035746e+001
4.236663e+002, 3.974243e+001
4.241484e+002, 3.992936e+001
4.246305e+002, 4.043690e+001
4.251126e+002, 4.044262e+001
4.255948e+002, 3.984483e+001
4.260769e+002, 3.961692e+001
4.265590e+002, 4.015244e+001
4.270411e+002, 4.099241e+001
4.275232e+002, 4.187543e+001
4.280053e+002, 4.271028e+001
4.284875e+002, 4.314779e+001
4.289695e+002, 4.282563e+001
4.294517e+002, 4.182496e+001
4.299338e+002, 4.131110e+001
4.304159e+002, 4.179710e+001
4.308980e+002, 4.207473e+001
4.313801e+002, 4.158303e+001
4.318622e+002, 4.073907e+001
4.323444e+002, 4.019909e+001
4.328265e+002, 4.020000e+001
4.333086e+002, 4.042810e+001
4.337907e+002, 4.032197e+001
4.342728e+002, 3.958554e+001
4.347549e+002, 3.921837e+001
4.352371e+002, 3.948734e+001
4.357192e+002, 3.984040e+001
4.362013e+002, 3.998303e+001
4.366834e+002, 3.992101e+001
4.371655e+002, 3.978473e+001
4.376476e+002, 3.964738e+001
4.381298e+002, 3.953142e+001
4.386119e+002, 3.961084e+001
4.390940e+002, 4.008504e+001
4.395761e+002, 4.045759e+001
4.400582e+002, 4.065763e+001
4.405403e+002, 4.070403e+001
4.410225e+002, 4.050047e+001
4.415046e+002, 4.003073e+001
4.419867e+002, 3.968246e+001
4.424688e+002, 4.012023e+001
4.429509e+002, 4.143904e+001
4.434330e+002, 4.225827e+001
4.439152e+002, 4.225510e+001
4.443973e+002, 4.188677e+001
4.448794e+002, 4.111597e+001
4.453615e+002, 4.018493e+001
4.458436e+002, 3.984338e+001
4.463257e+002, 4.104789e+001
4.468079e+002, 4.273699e+001
4.472900e+002, 4.278035e+001
4.477721e+002, 4.094438e+001
4.482542e+002, 3.941941e+001
4.487363e+002, 3.931786e+001
4.492184e+002, 4.007271e+001
4.497006e+002, 4.076261e+001
4.501827e+002, 4.137938e+001
4.506648e+002, 4.185977e+001
4.511469e+002, 4.210807e+001
4.516290e+002, 4.220712e+001
4.521111e+002, 4.235163e+001
4.525933e+002, 4.259330e+001
4.530754e+002, 4.275573e+001
4.535575e+002, 4.260381e+001
4.540396e+002, 4.212379e+001
4.545217e+002, 4.186371e+001
4.550038e+002, 4.180281e+001
4.554860e+002, 4.199179e+001
4.559681e+002, 4.269610e+001
4.564502e+002, 4.367978e+001
4.569323e+002, 4.436242e+001
4.574144e+002, 4.444931e+001
4.578965e+002, 4.414109e+001
4.583787e+002, 4.390081e+001
